0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,ModbusDataWrite,,INT[125],,"(Class := Standard, RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,ModbusDataWrite,SystemStatusBits - Control Power ON,,ModbusDataWrite[0].0,
COMMENT,,ModbusDataWrite,SystemStatusBits - Auto Mode,,ModbusDataWrite[0].1,
COMMENT,,ModbusDataWrite,SystemStatusBits - Purge Mode,,ModbusDataWrite[0].2,
COMMENT,,ModbusDataWrite,SystemStatusBits - System Idle,,ModbusDataWrite[0].3,
COMMENT,,ModbusDataWrite,SystemStatusBits - Air Pressure OK,,ModbusDataWrite[0].4,
COMMENT,,ModbusDataWrite,SystemStatusBits - System Faulted,,ModbusDataWrite[0].5,
COMMENT,,ModbusDataWrite,FeederStatusBits - Bulk Hopper Enabled,,ModbusDataWrite[1].0,
COMMENT,,ModbusDataWrite,FeederStatusBits - Bulk Hopper Level Not OK,,ModbusDataWrite[1].1,
COMMENT,,ModbusDataWrite,FeederStatusBits - Elevator Enabled,,ModbusDataWrite[1].2,
COMMENT,,ModbusDataWrite,FeederStatusBits - Elevator Level Not OK,,ModbusDataWrite[1].3,
COMMENT,,ModbusDataWrite,FeederStatusBits - Cross Conveyor Enabled,,ModbusDataWrite[1].4,
COMMENT,,ModbusDataWrite,FeederStatusBits - Cross Conveyor Level Not OK,,ModbusDataWrite[1].5,
COMMENT,,ModbusDataWrite,FeederStatusBits - Orientation Enabled,,ModbusDataWrite[1].6,
COMMENT,,ModbusDataWrite,FeederStatusBits - Orientation Level Not OK,,ModbusDataWrite[1].7,
COMMENT,,ModbusDataWrite,FeederStatusBits - Transfer Enabled,,ModbusDataWrite[1].8,
COMMENT,,ModbusDataWrite,FeederStatusBits - Transfer Level OK,,ModbusDataWrite[1].9,
COMMENT,,ModbusDataWrite,FeederStatusBits - Escapement Adv. Enabled,,ModbusDataWrite[1].10,
